Account,Campaign,Ad group,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status
789-424-2096,🟡 PREIS | Festpreis sucher,Rohrreinigung Festpreis,Responsive search ad,✓ Rohrreinigung FESTPREIS,Preis VORHER - nicht nachher!,Keine Überraschung möglich,Diagnose 0€ - erst zeigen,Nein gesagt? 0€ gezahlt,So sollte es sein!,Abfluss 79€ fix,Toilette 89€ fix,Kanal 149€ fix,Alle Preise fest,129x 5.0★,Lokaler Meisterbetrieb,10+ Jahre so,Transparenz garantiert,Fairer Service,✅ Rohrreinigung mit FESTPREIS: Abfluss 79€ | Toilette 89€ | Kanal 149€. Preis VORHER genannt. Punkt.,So funktioniert FAIR: 1) Diagnose 0€ 2) Festpreis genannt 3) Sie entscheiden. Nein = 0€. Fertig.,Keine versteckten Kosten. Keine Nachforderung. Keine Überraschung. Was wir sagen = was Sie zahlen.,129 Bewertungen 5.0★. Lokaler Meisterbetrieb. Faire Festpreise seit 10+ Jahren. Garantiert transparent.,festpreis,garantiert,https://rohrreinigung-kraft.de/preise,Enabled
789-424-2096,🟡 PREIS | Festpreis sucher,Keine versteckten Kosten,Responsive search ad,Keine versteckten Kosten!,Preis VORHER = Preis NACHHER,So sollte Service sein,Diagnose 0€ immer,Festpreis genannt,Nein? Kostet nichts,Keine Nachforderung,Keine Anfahrt extra,Alles inklusive,129x 5.0★,Lokaler Betrieb,10+ Jahre Vertrauen,Transparenz ist uns wichtig,Meisterbetrieb,Fair & ehrlich,✅ Keine versteckten Kosten: Bei uns ist der Preis VORHER = Preis NACHHER. Keine Überraschung. Versprochen.,Unser Prinzip: Diagnose 0€. Festpreis genannt BEVOR wir anfangen. Sie sagen Nein? Zahlen 0€. Fair!,Keine Anfahrtskosten extra. Keine Materialkosten extra. Keine Nachforderung. ALLES im Festpreis.,129 Bewertungen 5.0★. Lokaler Meisterbetrieb. 10+ Jahre Vertrauen. So sollte Service sein!,transparent,ehrlich,https://rohrreinigung-kraft.de/preise,Enabled
789-424-2096,🟡 PREIS | Festpreis sucher,Transparente Preise,Responsive search ad,Transparente Preise - ECHT!,Alle Preise online sehen,Abfluss 79€ | Kanal 149€,Festpreis VORHER genannt,Keine Überraschung,Diagnose 0€ immer,Nein gesagt? 0€ gezahlt,So fair geht das,129x 5.0★,Lokaler Meisterbetrieb,10+ Jahre transparent,Keine Tricks,Keine Extras,Ehrlicher Service,Jetzt Preise sehen,💰 Transparente Preise ONLINE: Abfluss 79€ | Toilette 89€ | Kanal 149€ | Kamera 149€. Alle FESTPREISE.,Sehen Sie ALLE Preise auf unserer Website. Keine Überraschung vor Ort. Festpreis = Endpreis. Garantiert.,Diagnose 0€. Festpreis VORHER genannt. Sie entscheiden. Nein gesagt? 0€ gezahlt. So einfach ist fair.,129 Bewertungen 5.0★. Lokaler Meisterbetrieb. Transparente Preise seit 10+ Jahren. Jetzt ansehen!,preise,online,https://rohrreinigung-kraft.de/preise,Enabled
789-424-2096,🔵 DIAGNOSE | Wiederkehrend,Verstopfung kommt wieder,Responsive search ad,Verstopfung kommt WIEDER? 🤔,Es gibt einen GRUND dafür!,Wir finden die URSACHE,Nicht nur reinigen - LÖSEN,Ursachen-Paket 349€,Kamera zeigt Problem,Sie SEHEN es selbst,90-Tage-Vollgarantie,Kommt wieder? Wir auch - 0€!,Nachkontrolle inklusive,Schluss mit dem Ärger,129x 5.0★,Lokaler Meisterbetrieb,Endgültige Lösung,Wurzeln? Fett? Rohrschaden?,🤔 Verstopfung kommt IMMER WIEDER? Es gibt einen GRUND! Ursachen-Paket 349€: Finden + Beheben + 90-Tage-Garantie.,Wir reinigen nicht nur - wir zeigen WARUM. Kamera-Inspektion. Sie sehen Problem selbst. Dann beheben wir URSACHE.,90-Tage-Vollgarantie: Kommt Problem wieder? Wir kommen wieder - KOSTENLOS. So sicher sind wir.,Ursachen-Paket 349€: Kamera + Diagnose + Reinigung + Ursachenbehebung + Nachkontrolle. Schluss mit Ärger!,ursachen,paket,https://rohrreinigung-kraft.de/preise?paket=ursachen,Enabled
789-424-2096,🔵 DIAGNOSE | Wiederkehrend,Immer wieder verstopft,Responsive search ad,Immer wieder verstopft? STOPP!,Das muss nicht sein!,Wir finden den GRUND,Ursache beheben = Ruhe haben,Ursachen-Paket 349€,Kamera zeigt alles,Sie sehen es SELBST,90-Tage-Garantie,Nachkontrolle gratis,Schluss mit Geld ausgeben,Wurzeln? Fett? Schaden?,129x 5.0★,Lokaler Meisterbetrieb,Endgültige Lösung,10+ Jahre Erfahrung,💡 WARUM immer wieder verstopft? Wurzeln? Fett? Rohrschaden? Ursachen-Paket 349€ findet und BEHEBT es.,Nicht nur reinigen = in 3 Monaten wieder! Wir zeigen Problem mit Kamera. Sie sehen es. Dann LÖSEN wir es.,90-Tage-Vollgarantie: Problem kommt wieder? Nächster Einsatz auf unsere Kosten. Garantiert.,Ursachen-Paket 349€: Diagnose + Kamera + Reinigung + Behebung + Nachkontrolle 3 Monate. Endlich Ruhe!,wiederkehrend,geloest,https://rohrreinigung-kraft.de/preise?paket=ursachen,Enabled
789-424-2096,🔵 DIAGNOSE | Wiederkehrend,Warum verstopft,Responsive search ad,Warum verstopft es immer?,Wir zeigen den GRUND!,Kamera-Diagnose 149€,Sie sehen Problem SELBST,HD-Video + Bericht,Klare Empfehlung,Was ist zu tun?,Wurzeln? Fett? Schaden?,Diagnose-Paket buchen,Nicht raten - WISSEN,129x 5.0★,Lokaler Meisterbetrieb,10+ Jahre Erfahrung,Klarheit bekommen,Festpreis garantiert,🔍 WARUM verstopft es? Diagnose-Paket 149€: Kamera-Inspektion + HD-Video + Bericht + klare Empfehlung.,Sie sehen das Problem SELBST auf dem Bildschirm. Nicht raten - WISSEN. Dann richtig entscheiden.,Diagnose-Paket 149€ Festpreis: Kamera + Video + Bericht per E-Mail + Empfehlung was zu tun ist.,129 Bewertungen 5.0★. Lokaler Meisterbetrieb. Klarheit statt Vermutung. Jetzt Diagnose buchen!,warum,diagnose,https://rohrreinigung-kraft.de/preise?paket=diagnose,Enabled
789-424-2096,🔵 DIAGNOSE | Kamera Ursache,Kamera Inspektion Rohr,Responsive search ad,Kamera-Inspektion 149€ fix,Sie sehen Problem SELBST!,HD-Video Dokumentation,Bericht per E-Mail,Für Versicherung perfekt,Vor Hauskauf empfohlen,Nicht raten - WISSEN,Klare Empfehlung dabei,Festpreis garantiert,Diagnose-Paket buchen,129x 5.0★,Lokaler Meisterbetrieb,Wurzeln? Schaden?,Was ist im Rohr?,10+ Jahre Erfahrung,📹 Kamera-Inspektion 149€ Festpreis: Sie sehen Problem SELBST auf Bildschirm. HD-Video + Bericht inklusive.,Perfekt für: Versicherung | Vor Hauskauf | Streit mit Vermieter. Dokumentation = Beweis in der Hand.,Diagnose-Paket 149€: Kamera + HD-Video + Bericht per E-Mail + klare Empfehlung. Nicht raten - WISSEN.,129 Bewertungen 5.0★. Lokaler Meisterbetrieb. Klarheit über Rohrzustand. Jetzt Termin buchen!,kamera,149euro,https://rohrreinigung-kraft.de/service/kamera-inspektion?paket=diagnose,Enabled
789-424-2096,🔵 DIAGNOSE | Kamera Ursache,TV Inspektion Kanal,Responsive search ad,TV-Inspektion Kanal 149€,Professionelle Dokumentation,HD-Kamera zeigt alles,Sie sehen es SELBST,Bericht per E-Mail,Für Behörden geeignet,Vor Grundstückskauf,Kanalzustand prüfen,Festpreis garantiert,Diagnose-Paket,129x 5.0★,Lokaler Meisterbetrieb,Wurzeln? Risse? Schäden?,Klarheit bekommen,10+ Jahre Erfahrung,📹 TV-Inspektion Kanal 149€: Professionelle HD-Kamera. Sie sehen Zustand SELBST. Dokumentation inklusive.,Vor Grundstückskauf: Kanalzustand prüfen = böse Überraschungen vermeiden. Bericht für Verhandlung.,Diagnose-Paket 149€ Festpreis: Kamera + HD-Video + Bericht per E-Mail + klare Empfehlung dazu.,129 Bewertungen 5.0★. Lokaler Meisterbetrieb. Klarheit über Ihren Kanal. Jetzt Termin vereinbaren!,kanal,inspektion,https://rohrreinigung-kraft.de/service/kamera-inspektion?paket=diagnose,Enabled
789-424-2096,🔵 DIAGNOSE | Kamera Ursache,Rohrschaden finden,Responsive search ad,Rohrschaden vermuten? PRÜFEN!,Kamera zeigt die Wahrheit,Diagnose-Paket 149€,Sie sehen es SELBST,HD-Video Dokumentation,Bericht für Versicherung,Für Vermieter-Streit,Nicht raten - WISSEN,Festpreis garantiert,Lokaler Meisterbetrieb,129x 5.0★,Klarheit bekommen,Leck? Riss? Wurzeln?,Was ist wirklich los?,Empfehlung inklusive,🔍 Rohrschaden? Nicht raten - WISSEN! Diagnose-Paket 149€: Kamera zeigt was los ist. Sie sehen es SELBST.,Leck? Riss? Wurzeln? Wir finden es. HD-Video + Bericht per E-Mail. Perfekt für Versicherung/Vermieter.,Diagnose-Paket 149€ Festpreis: Kamera-Inspektion + Video + Bericht + klare Empfehlung was zu tun ist.,129 Bewertungen 5.0★. Lokaler Meisterbetrieb. Klarheit statt Vermutung. Jetzt Termin buchen!,rohrschaden,diagnose,https://rohrreinigung-kraft.de/service/kamera-inspektion?paket=diagnose,Enabled
789-424-2096,🟢 B2B | Hausverwaltung,Rohrreinigung Hausverwaltung,Responsive search ad,Hausverwaltung? Partner-Paket!,10% Rahmenvertrag-Rabatt,Prioritäts-Notdienst 30 Min,Sammelrechnung möglich,Dokumentation für WEG,Fester Ansprechpartner,Direkte Hotline,Wartung 29€/Einheit,80% weniger Notfälle,Alle Objekte betreut,129x 5.0★,Lokaler Partner 10+ J.,Angebot in 24h,Jetzt Partner werden,B2B-Konditionen,🏢 Hausverwaltung? Partner-Paket: 10% Rabatt + Prioritäts-Notdienst 30 Min + Sammelrechnung + fester Kontakt.,Wartungsvertrag 29€/Einheit: Bis 80% weniger Notfälle. Regelmäßige Reinigung = zufriedene Mieter.,WEG-Dokumentation inklusive. Direkte Techniker-Hotline. Alle Objekte aus einer Hand. Angebot in 24h.,129 Bewertungen 5.0★. Lokaler Partner seit 10+ Jahren. B2B-Konditionen. Jetzt Partner-Anfrage stellen!,hausverwaltung,partner,https://rohrreinigung-kraft.de/hausverwaltung?b2b=partner,Enabled
789-424-2096,🟢 B2B | Hausverwaltung,WEG Rohrreinigung,Responsive search ad,WEG? Rohrreinigung ab 29€/Einheit,Wartungsvertrag spart 80%,Notfälle vermeiden,Dokumentation WEG-gerecht,Sammelrechnung,Priorität bei Notfall,30 Min Reaktion,Fester Ansprechpartner,Direkte Hotline,129x 5.0★,Lokaler Partner,10+ Jahre WEG-Erfahrung,Angebot in 24h,Jetzt anfragen,Alle Objekte,🏢 WEG-Rohrreinigung: Wartungsvertrag ab 29€/Einheit. Bis 80% weniger Notfälle. Zufriedene Eigentümer.,WEG-gerechte Dokumentation. Sammelrechnung. Priorität bei Notfall: 30 Min Reaktion garantiert.,Fester Ansprechpartner. Direkte Techniker-Hotline. Alle Objekte einer WEG aus einer Hand betreut.,129 Bewertungen 5.0★. Lokaler Partner 10+ Jahre WEG-Erfahrung. Angebot in 24h. Jetzt anfragen!,weg,wartung,https://rohrreinigung-kraft.de/hausverwaltung?b2b=weg,Enabled
789-424-2096,🟢 B2B | Hausverwaltung,Mehrfamilienhaus Service,Responsive search ad,Mehrfamilienhaus? Wartungs-Paket!,Regelmäßig = keine Notfälle,Ab 29€/Einheit monatlich,Alle Abflüsse betreut,Fallrohr-Reinigung,Dokumentation inklusive,Fester Termin,Mieter informiert,Kein Ärger mehr,129x 5.0★,Lokaler Partner,10+ Jahre Erfahrung,Prioritäts-Notdienst,Angebot in 24h,Jetzt anfragen,🏢 Mehrfamilienhaus? Wartungs-Paket ab 29€/Einheit: Regelmäßige Reinigung = keine Notfälle mehr. Garantiert.,Alle Abflüsse + Fallrohre regelmäßig gereinigt. Mieter werden informiert. Dokumentation für Verwaltung.,Prioritäts-Notdienst für Wartungskunden: 30 Min Reaktion. Fester Ansprechpartner. Direkte Hotline.,129 Bewertungen 5.0★. Lokaler Partner 10+ Jahre. Angebot in 24h. Jetzt Wartungs-Paket anfragen!,mehrfamilienhaus,wartung,https://rohrreinigung-kraft.de/hausverwaltung?b2b=mfh,Enabled
789-424-2096,🟢 B2B | Gewerbe Gastro,Restaurant Rohrreinigung,Responsive search ad,Restaurant? Diskrete Hilfe!,Außerhalb Öffnungszeiten,Nachts & Wochenende,Fettablagerungen weg,Keine Betriebsstörung,Wartungsvertrag sinnvoll,Hygiene-Dokumentation,HACCP-konform,Gesetzlich sicher,129x 5.0★,Lokaler Partner,Gastro-Erfahrung,Festpreis genannt,Jetzt anfragen,Notfall 24/7,🍽️ Restaurant? Rohrreinigung AUSSERHALB Öffnungszeiten. Nachts/Wochenende. Keine Betriebsstörung.,Fettablagerungen professionell entfernen. HACCP-konforme Dokumentation. Gesetzlich auf der sicheren Seite.,Wartungsvertrag: Regelmäßige Reinigung = keine Notfälle während Betrieb. Diskret. Professionell.,129 Bewertungen 5.0★. Lokaler Partner mit Gastro-Erfahrung. 24/7 Notfall möglich. Jetzt anfragen!,restaurant,gastro,https://rohrreinigung-kraft.de/hausverwaltung?b2b=gastro,Enabled
789-424-2096,🟢 B2B | Gewerbe Gastro,Fettabscheider Wartung,Responsive search ad,Fettabscheider-Wartung!,Gesetzliche Pflicht erfüllen,Dokumentation inklusive,HACCP-konform,Regelmäßige Entleerung,Keine Strafen riskieren,Wartungsvertrag,Festpreis monatlich,129x 5.0★,Lokaler Partner,Gastro-Erfahrung,Außerhalb Öffnungszeiten,Professionell & diskret,Jetzt anfragen,Angebot in 24h,⚖️ Fettabscheider-Wartung: Gesetzliche Pflicht erfüllen. Professionelle Dokumentation für Behörden.,Regelmäßige Entleerung & Reinigung. HACCP-konform. Keine Strafen riskieren. Wartungsvertrag ab...,Außerhalb Öffnungszeiten möglich. Keine Betriebsstörung. Diskret & professionell durchgeführt.,129 Bewertungen 5.0★. Lokaler Partner mit Gastro-Erfahrung. Angebot in 24h. Jetzt anfragen!,fettabscheider,wartung,https://rohrreinigung-kraft.de/hausverwaltung?b2b=fettabscheider,Enabled
